Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte,Latitude,Longitude
"Mr. Teto Sate & Soto, Perintis Kemerdekaan",Indonesia,0.85 km,27000,4.8,Santai,Tidak,"Bakso & soto, Sate",Tidak,2,1,Disajikan,Ala Carte,-7.8186809,110.382439
"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta",Western,1.51 km,24000,4.5,Santai,Tidak,"Chicken & duck, Western",Tidak,3,3,Disajikan,Ala Carte,-7.799879806,110.3762357
"Petit Paris Boulangerie and Bistro, Kotabaru",Western,3.22 km,103000,4.5,Formal,Tidak,"Chicken & duck, Western, Fast food",Tidak,3,2,Disajikan,Ala Carte,-7.788171555,110.3720125
"A&M Co. Express, Jogja",Japanese,3.95 km,75000,4.6,Formal,Tidak,"Fast food, Japanese",Tidak,4,1,Disajikan,Ala Carte,-7.82139948,110.368301
"Ayam Serundeng, Nitikan",Indonesia,1 km,21000,4.6,Santai,Tidak,"Jajanan, Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte,-7.820063669,110.3825211
"Hakata Ikkousha, Hartono Mall",Japanese,6.19 km,64000,4.6,Formal,Tidak,Japanese,Tidak,4,3,Disajikan,Ala Carte,-7.759774642,110.3991306
"Shigeru Sushi, Pakuwon Mall Yogyakarta",Japanese,6.1 km,50000,4.5,Formal,Ya,Japanese,Tidak,1,1,Disajikan,Ala Carte,-7.759316958,110.399229
"Kimukatsu, Hartono Mall",Japanese,5.94 km,67000,4.8,Formal,Tidak,"Japanese, Rice, Chicken & duck",Tidak,3,3,Disajikan,Ala Carte,-7.760782,110.3888315
"Beef Mafia, Selokan Yogya",Japanese,5.11 km,70000,4.8,Formal,Ya,"Japanese, Rice, Fast food, Chicken & duck",Tidak,4,1,Disajikan,Ala Carte,-7.775917534,110.4062254
"Genki Sushi, Plaza Ambarrukmo",Japanese,3.74 km,58000,4.7,Formal,Tidak,"Japanese, Rice, Snacks",Tidak,1,2,Disajikan,Ala Carte,-7.782006422,110.4012984
"K'Meals Bar & Restaurant, Prawirotaman",Western,2.02 km,40000,4.8,Formal,Tidak,"Pizza & pasta, Beverages, Western",Tidak,2,1,Disajikan,Ala Carte,-7.819172159,110.3703937
"Ganbate Kitchen, Widya Mataram",Japanese,3.3 km,31000,4.4,Santai,Tidak,"Rice, Chicken & duck, Japanese",Tidak,4,2,Disajikan,Ala Carte,-7.744678542,110.4184835
"AB Oriental Streetfood, Pedak",Japanese,3.14 km,32000,4.7,Santai,Ya,"Rice, Fast food, Japanese",Tidak,2,2,Disajikan,Ala Carte,-7.751733169,110.4089436
"Steak Moen-Moen, Galeria Mall",Western,3.47 km,26000,4.4,Formal,Tidak,Western,Tidak,4,3,Disajikan,Ala Carte,-7.781641811,110.3789289
