Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte,Latitude,Longitude
"Mie Bandung Chinese Food, Ngampilan",Chinese,3.23 km,39000,4.7,Santai,Tidak,"Bakmie, Aneka nasi, Chinese",Tidak,3,3,Disajikan,Ala Carte,-7.79836453,110.3625054
"Soto Tauco Pekalongan Bu Iswi, Jalan Bimokurdo No.46, Gondokusuman, Demangan",Indonesia,3.01 km,19000,3.7,Santai,Tidak,"Bakso & soto, Cepat saji, Minuman",Tidak,2,2,Disajikan,Ala Carte,-7.820074291,110.3876846
"Spesial Bakso Pak Jum Balai Kota, Umbulharjo",Indonesia,1.44 km,18000,3.6,Santai,Tidak,"Bakso & soto, Jajanan, Minuman",Tidak,2,2,Disajikan,Ala Carte,-7.9903424,110.6403779
Soto Ayam Kampung Dan Soto Daging Sapi Pak Ben,Indonesia,0.83 km,22000,3.8,Santai,Tidak,"Bakso & soto, Minuman",Tidak,1,2,Disajikan,Ala Carte,-7.810147665,110.3800884
Toba Tabo,Chinese,2.13 km,40000,4.7,Santai,Tidak,"Cepat saji, Bakmie, Chinese",Tidak,1,3,Disajikan,Ala Carte,-7.794417788,110.3930015
"Sop Ayam Klaten, Mantrijeron",Indonesia,3.1 km,16000,4.4,Santai,Tidak,"Cepat saji, Minuman, Bakso & soto",Tidak,4,3,Disajikan,Ala Carte,-7.808428693,110.3609423
"Legend Coffee, Yogyakarta",Western,3.21 km,37000,4.3,Santai,Tidak,"Chicken & duck, Beverages, Pizza & pasta, Coffee, Rice, Noodles, Western",Tidak,2,1,Disajikan,Ala Carte,-7.786238719,110.3725166
"Martabak Okonomiyaki BAMLY, Sonopakis",Japanese,5.58 km,25000,4.6,Santai,Ya,"Chicken & duck, Japanese, Martabak",Tidak,2,3,Disajikan,Ala Carte,-7.803018773,110.3379897
"Nasi Goreng Gemilang, Gedongkuning",Chinese,1.97 km,19000,4.7,Santai,Ya,Chinese,Tidak,3,2,Disajikan,Ala Carte,-7.803073773,110.4023989
"Restoran Mahkota (Tiong San), Pajeksan",Chinese,3.17 km,132000,4.7,Santai,Tidak,"Chinese, Ayam & bebek, Aneka nasi, Bakmie",Tidak,3,1,Disajikan,Ala Carte,-7.795934794,110.3641479
"Curryin, Perumnas",Japanese,5.8 km,42000,4.6,Santai,Tidak,Japanese,Tidak,2,1,Disajikan,Ala Carte,-7.767306345,110.4119962
"Marugame Udon, Hartono Mall Jogja",Japanese,6.02 km,68000,4.8,Formal,Tidak,Japanese,Tidak,1,1,Disajikan,Ala Carte,-7.760104119,110.399021
"YOSHINOYA BEEF BOWL, Transmart Maguwoharjo",Japanese,4.89 km,64000,4.7,Formal,Tidak,"Japanese, Fast food, Chicken & duck, Rice",Tidak,2,3,Disajikan,Ala Carte,-7.782857842,110.4097511
"Sushi Battousai, Suryodiningratan",Japanese,3.31 km,32000,4.5,Formal,Tidak,"Japanese, Snacks, Chinese",Tidak,1,2,Disajikan,Ala Carte,-7.798809971,110.3835872
"Mochi Sakura, Plaza Ambarukmo",Japanese,3.73 km,41000,4.2,Santai,Ya,"Japanese, Snacks, Sweets",Tidak,4,1,Disajikan,Ala Carte,-7.781558131,110.4014265
"Soto Pak Zaenal Barokah, Warungboto Umbulharjo",Indonesia,0.65 km,15000,4.5,Santai,Tidak,"Minuman, Bakso & soto",Tidak,4,2,Disajikan,Ala Carte,-7.807268946,110.3898147
"Warung Lawas, Prawirotaman",Western,1.9 km,41000,4.7,Santai,Tidak,"Pizza & pasta, Chicken & duck, Western, Rice, Beverages, Snacks, Sweets, Fast food, Bakery, Bakso & soto, Noodles, Coffee",Tidak,3,2,Disajikan,Ala Carte,-7.819853924,110.3720155
"Mediterranea Restaurant by Kamil, Matrijeron",Western,2.61 km,76000,4.8,Santai,Tidak,"Pizza & pasta, Western",Tidak,1,2,Disajikan,Ala Carte,-7.818300265,110.3645276
"Rustik Bistro & Bar, Hotel Harper Malioboro Yogyakarta",Western,3.92 km,32000,3.8,Formal,Tidak,"Rice, Beverages, Western",Tidak,2,3,Disajikan,Ala Carte,-7.784683563,110.3679658
"Gyudel Bowl & Nasi Goreng, Depok",Japanese,5.2 km,29000,4.7,Formal,Tidak,"Rice, Fast food, Japanese",Tidak,2,1,Disajikan,Ala Carte,-7.767217263,110.3993669
"Sushi Story, Gejayan",Japanese,5.76 km,62000,4.6,Formal,Tidak,"Seafood, Japanese",Tidak,2,3,Disajikan,Ala Carte,-7.760284305,110.3944373
"Burgerax, Imogiri Timur",Western,3.24 km,38000,4.6,Santai,Tidak,"Snacks, Western, Fast food",Tidak,4,2,Disajikan,Ala Carte,-7.841510665,110.3914371
"Pulung Steak & Ribs, Catur Tunggal",Western,3.64 km,43000,4.6,Santai,Ya,Western,Tidak,1,3,Disajikan,Ala Carte,-7.779913761,110.3888126
"Burger Bangor Express, Bantul",Western,4.22 km,40000,4.8,Santai,Tidak,"Western, Fast food, Chicken & duck",Tidak,3,1,Disajikan,Ala Carte,-7.816638227,110.3518329
"BurgeriOr, Tempel",Western,4.12 km,40000,4.7,Santai,Ya,"Western, Fast food, Snacks",Tidak,3,2,Disajikan,Ala Carte,-7.662380416,110.4122599
"Mamam Food, Pringgolayan Banguntapan",Western,2.17 km,27000,4.7,Santai,Tidak,"Western, Pizza & pasta, Rice",Tidak,2,1,Disajikan,Ala Carte,-7.815252834,110.4068895
"Yamie Panda, Cokroaminoto",Chinese,4.3 km,28000,4.7,Santai,Ya,"Bakmie, Chinese, Bakso & soto",Ya,3,1,Disajikan,Ala Carte,-7.794794701,110.3528869
"Kedai Mie Nyinyir, Sorogenen",Indonesia,1.46 km,22000,4.7,Santai,Ya,"Bakso & soto, Bakmie",Tidak,2,2,Disajikan,Ala Carte,-7.824963956,110.3824258
"Dudidu Dimsum, ISI",Chinese,5.54 km,40000,4.6,Santai,Ya,"Chinese, Japanese, Korean",Tidak,4,2,Disajikan,Ala Carte,-7.851296108,110.3554632
"Kwetiau Goreng Dan Nasi Goreng Seafood Makjoss, Batikan",Chinese,0.72 km,25000,4.6,Santai,Tidak,"Chinese, Seafood, Bakmie",Tidak,1,3,Disajikan,Ala Carte,-7.808976047,110.3821201
"Double O Resto, Tegalrejo",Japanese,4.61 km,30000,4.6,Santai,Tidak,"Coffee, Beverages, Japanese",Tidak,1,1,Disajikan,Ala Carte,-7.792030459,110.3512651
"HokBen Kitchen, Godean Jogjakarta",Japanese,5.22 km,49000,4.7,Formal,Tidak,"Fast food, Japanese",Tidak,4,1,Disajikan,Ala Carte,-7.781554482,110.3520414
Salad Sehat Fd,Japanese,4.79 km,30000,4.7,Santai,Tidak,"Fast food, Japanese, Korean",Tidak,3,3,Disajikan,Ala Carte,-7.810732918,110.3442992
"Bakmi Nikmat Rasa, Soragan",Indonesia,5.29 km,59000,4.6,Santai,Tidak,Japanese,Tidak,3,1,Disajikan,Ala Carte,-7.781695978,110.3501387
"GYU KATSU, CONDONGCATUR",Japanese,5.91 km,32000,4.7,Formal,Ya,"Japanese, Rice",Tidak,2,3,Disajikan,Ala Carte,-7.766444523,110.4141573
"Vegan Cafe Black Forest, Brontokusuman",Chinese,2.25 km,22000,4.7,Santai,Tidak,"Minuman, Chinese, Barat",Tidak,2,3,Disajikan,Ala Carte,-7.819117969,110.3682589
"Grennesia Salad Bar & Breakfast, Parangtritis",Western,2.23 km,22000,4.7,Formal,Tidak,"Rice, Western, Snacks",Tidak,1,3,Disajikan,Ala Carte,-7.818596527,110.3682243
"Chikuro Pakuwon Mall Jogja, Pakuwon Mall Lantai LG",Japanese,6.2 km,40000,4.6,Formal,Tidak,"Snacks, Japanese",Tidak,4,2,Disajikan,Ala Carte,-7.760191875,110.3987185
"Waroeng Steak And Shake, Tamansiswa",Western,1.18 km,40000,4.7,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte,-7.80662264,110.3775938
"Burger King, Diponegoro",Western,4.32 km,57000,4.7,Santai,Ya,"Western, Fast food",Tidak,2,2,Disajikan,Ala Carte,-7.782902392,110.3626868
"ViaVia Jogja, Prawirotaman",Western,1.9 km,75000,4.8,Santai,Tidak,"Western, Indian, Pizza & pasta",Tidak,1,1,Disajikan,Ala Carte,-7.819116952,110.3715477
"AMco, Parangtritis",Japanese,2.47 km,108000,4.7,Formal,Tidak,"Western, Japanese, Pizza & pasta",Tidak,1,1,Disajikan,Ala Carte,-7.82302571,110.3682903
"The Rock Burger, Melati Wetan",Western,2.42 km,50000,4.7,Santai,Tidak,"Western, Rice, Fast food",Tidak,2,1,Disajikan,Ala Carte,-7.791575707,110.3932053
"Lotek Gado-Gado Bu Ning, Tamansiswa",Indonesia,1.34 km,26000,4.7,Santai,Tidak,"Aneka nasi, Ayam & bebek, Bakso & soto",Tidak,4,3,Disajikan,Ala Carte,-7.803719832,110.379324
"Pecel Lele Dan Bakso Mie Ayam Sakolehe, Umbulharjo",Indonesia,0.53 km,20000,4.5,Santai,Tidak,"Aneka nasi, Ayam & bebek, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,-7.79459951,110.3831112
"Pork King - Ricebox Babi, Gondokusuman",Chinese,2.22 km,52000,4.8,Santai,Tidak,"Aneka nasi, Cepat saji, Chinese",Tidak,4,1,Disajikan,Ala Carte,-7.794933456,110.3776295
"PigGoo Kitchen, Baciro",Chinese,2.65 km,52000,4.5,Santai,Tidak,"Bakmie, Chinese, Aneka nasi",Tidak,3,3,Disajikan,Ala Carte,-7.789578736,110.3935952
"Soto Sehati, Umbulharjo",Indonesia,0.75 km,26000,4.3,Santai,Tidak,Bakso & soto,Tidak,3,3,Disajikan,Ala Carte,-7.788626339,110.3914196
"Bakso Urat & Mie Ayam Rizky, Sorogenen",Indonesia,1.5 km,17000,4.8,Santai,Tidak,"Bakso & soto, Bakmie",Tidak,2,2,Disajikan,Ala Carte,-7.824319949,110.373425
Izakaya Japanese Resto,Japanese,5.55 km,120000,4.8,Formal,Tidak,"Beverages, Japanese, Seafood",Tidak,4,2,Disajikan,Ala Carte,-7.778874326,110.3487211
Yani's Kitchen,Chinese,3.58 km,26000,4.4,Santai,Tidak,"Chinese, Ayam & bebek, Aneka nasi, Bakmie",Tidak,2,3,Disajikan,Ala Carte,-7.791620268,110.3616316
"Seafood 99, Wonocatur",Chinese,2.33 km,23000,4.7,Santai,Tidak,"Chinese, Seafood, Aneka nasi",Tidak,1,1,Disajikan,Ala Carte,-7.802122254,110.4058263
"Hotaru Ramen, Banguntapan",Japanese,2.84 km,36000,4,Santai,Tidak,"Fast food, Japanese, Noodles",Tidak,4,3,Disajikan,Ala Carte,-7.798226441,110.4085508
Kantin Mama Mirza,Indonesia,0.99 km,17000,4.2,Santai,Tidak,"Jajanan, Bakso & soto, Aneka nasi",Tidak,3,2,Disajikan,Ala Carte,-7.806049657,110.3813224
"Mitsuru Ramen, Foodcourt135",Japanese,4.87 km,35000,4.3,Santai,Tidak,Japanese,Tidak,1,2,Disajikan,Ala Carte,-7.771153217,110.4023172
"Warung Ramen N Katsu, Chapter 1 Menteri Supeno",Japanese,0.74 km,30000,4.6,Santai,Tidak,Japanese,Tidak,2,2,Disajikan,Ala Carte,-7.816547897,110.38185
Deta Kitchen,Japanese,5.68 km,16000,4.4,Santai,Tidak,"Japanese, Chinese",Tidak,3,2,Disajikan,Ala Carte,-7.640255785,110.3319329
"Chicken Katsu Domreneo, Suryodiningratan",Japanese,3.01 km,21000,3.4,Santai,Ya,"Japanese, Rice, Chicken & duck",Tidak,1,3,Disajikan,Ala Carte,-7.817650552,110.3606493
"Sushi Yay, Selokan Yogya",Japanese,5.11 km,82000,4.7,Santai,Ya,"Japanese, Rice, Fast food, Chicken & duck",Tidak,4,2,Disajikan,Ala Carte,-7.772414836,110.4099162
Tanoshi Bedjo Homestay,Japanese,6.4 km,66000,4.5,Santai,Ya,"Japanese, Rice, Sate",Tidak,1,1,Disajikan,Ala Carte,-7.756789595,110.3725419
Kantin Siap Saji Zupa Soup The Eifel,Western,1.56 km,22000,3.9,Santai,Tidak,"Pizza & pasta, Rice, Western",Tidak,2,2,Disajikan,Ala Carte,-7.7984428,110.3890646
Penyetan Ayam Bakar Dan Suki Tomyam Yss Food,Japanese,6.09 km,32000,4.8,Santai,Tidak,"Rice, Chicken & duck, Japanese",Tidak,2,3,Disajikan,Ala Carte,-7.779740535,110.4314981
"Bento Yay, Selokan Yogya",Japanese,5.11 km,58000,4.7,Formal,Ya,"Rice, Japanese, Chicken & duck",Tidak,2,1,Disajikan,Ala Carte,-7.772446726,110.3996791
"Nikkou Ramen, Pakualaman",Japanese,1.64 km,32000,4.2,Santai,Tidak,"Rice, Noodles, Japanese",Tidak,4,3,Disajikan,Ala Carte,-7.801399431,110.3676463
"d'Sushi & Takoyaki, Rejodadi Sidorejo",Japanese,5.95 km,34000,4.4,Santai,Tidak,"Rice, Snacks, Japanese",Tidak,1,2,Disajikan,Ala Carte,-7.761932529,110.3977655
"Wangoen Zuppa Soup, Umbulharjo",Western,0.17 km,20000,4.7,Santai,Tidak,"Snacks, Western",Tidak,3,2,Disajikan,Ala Carte,-7.8140379,110.3762057
"Burgerax, Prawirotaman",Western,2.02 km,38000,4.7,Santai,Tidak,"Snacks, Western, Fast food",Tidak,3,3,Disajikan,Ala Carte,-7.806291941,110.3410466
"Kedai Jagoan Moy-Moy, Tamsis",Chinese,1.32 km,12000,4.7,Santai,Tidak,"Sweets, Chinese",Tidak,4,2,Disajikan,Ala Carte,-7.8062203,110.3673853
"Waroeng Steak and Shake, Demangan",Western,3.73 km,40000,4.7,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte,-7.77927658,110.3891099
"Waroeng Steak and Shake, Jalan Bantul",Western,4.08 km,40000,4.7,Santai,Tidak,Western,Tidak,1,2,Disajikan,Ala Carte,-7.828701714,110.354175
"Spark Resto And Sports Bar, Prawirotaman",Western,2.21 km,36000,4.7,Santai,Ya,"Western, Beverages, Sate",Tidak,3,3,Disajikan,Ala Carte,-7.81861239,110.3683212
"Dapur Mamika, Jl Sisingamangaraja Gg Menur",Western,1.68 km,18000,3.9,Santai,Tidak,"Western, Chicken & duck, Rice",Tidak,4,1,Disajikan,Ala Carte,-7.5398732,108.7635291
"Burgerax, Demangan Baru",Western,3.59 km,38000,4.6,Santai,Tidak,"Western, Snacks, Fast food",Tidak,4,3,Disajikan,Ala Carte,-7.779041467,110.392223
"Pawon Mbokdis, Mantrigawen Lor",Japanese,2.28 km,20000,4.6,Santai,Tidak,"Aneka nasi, Bakmie, Chinese",Tidak,4,2,Disajikan,Ala Carte,-7.8091356,110.3575409
"Rm & Seafood 99, Sorowajan",Chinese,2.91 km,22000,4.2,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,2,2,Disajikan,Ala Carte,-7.802303743,110.362915
"Pecel Lele, Rawon Dan Soto Lamongan Yuk In, Giwangan, Umbulharjo",Indonesia,1.38 km,15000,3.9,Santai,Tidak,"Aneka nasi, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,-7.823497521,110.3760582
"Ayam Geprek DBC, Beskalan",Indonesia,3.01 km,21000,4.7,Santai,Tidak,"Aneka nasi, Bakso & soto, Ayam & bebek, Minuman",Tidak,1,1,Disajikan,Ala Carte,-7.797181951,110.3647908
"Nasi Goreng & Halal Chinesefood MakJoss, Rumah Pagar Biru Salon Yuli",Chinese,0.72 km,25000,4.5,Santai,Ya,"Aneka nasi, Chinese, Bakmie",Tidak,2,2,Disajikan,Ala Carte,-7.809007935,110.3822166
"Soto Ayam 61, Gondomanan",Indonesia,3.01 km,19000,4.5,Santai,Tidak,"Ayam & bebek, Bakso & soto",Tidak,4,1,Disajikan,Ala Carte,-7.797198192,110.3651276
"Seblak Mang Cepot & Baso Aci Hoax, Umbulharjo",Indonesia,0.53 km,19000,4.6,Santai,Ya,"Ayam & bebek, Bakso & soto, Cepat saji",Tidak,3,3,Disajikan,Ala Carte,-7.811341619,110.3928751
"Buttersweet, Saman Utara",Western,3.14 km,20000,3.9,Santai,Tidak,"Bakery, Beverages, Western",Tidak,3,3,Disajikan,Ala Carte,-7.8346188,110.3586587
"Bakso Lontong Djeng Thathit, Suryodiningratan",Indonesia,3.06 km,16000,4,Santai,Tidak,Bakso & soto,Tidak,4,3,Disajikan,Ala Carte,-7.818360265,110.3604442
"Bakso Urat Arema Soringin, Langensari",Indonesia,3.02 km,19000,4.4,Santai,Tidak,Bakso & soto,Tidak,3,2,Disajikan,Ala Carte,-7.785819404,110.3825853
"Bakso Urat Cak Ari, Mataram",Indonesia,3.1 km,20000,4.5,Santai,Tidak,Bakso & soto,Tidak,4,2,Disajikan,Ala Carte,-7.792724116,110.3677079
"Soto Daging Lamongan Cak Ngun, Jl. Veteran No 212 Umbulharjo",Indonesia,0.43 km,24000,4.5,Santai,Tidak,Bakso & soto,Tidak,2,2,Disajikan,Ala Carte,-7.816021467,110.3854329
"Agenda Resto & Vibes, Arkadia",Western,2.04 km,48000,4.3,Santai,Tidak,"Beverages, Pizza & pasta, Western",Tidak,1,2,Disajikan,Ala Carte,-7.819084978,110.3597416
Raja Sate & Soto,Indonesia,0.76 km,27000,4.9,Santai,Tidak,"Cepat saji, Sate, Bakso & soto",Tidak,1,2,Disajikan,Ala Carte,-7.817929197,110.3919334
CHICKATS,Japanese,6.4 km,25000,4.7,Santai,Tidak,"Chicken & duck, Rice, Japanese",Tidak,3,1,Disajikan,Ala Carte,-7.759514703,110.3996974
Chinese Food / Sea Food Kondang,Chinese,2.33 km,31000,4.8,Santai,Tidak,"Chinese, Ayam & bebek, Seafood",Tidak,4,2,Disajikan,Ala Carte,-7.795855558,110.4000745
Suguhand Cafe,Western,3.35 km,111000,4.4,Santai,Tidak,"Coffee, Western, Pizza & pasta",Tidak,3,2,Disajikan,Ala Carte,-7.7829331,110.3814543
"HokBen, Kaliurang",Japanese,6.13 km,49000,4.8,Formal,Tidak,"Fast food, Japanese",Tidak,2,3,Disajikan,Ala Carte,-7.757481887,110.381792
"Pop Mart, Laksda Adi Sucipto (Korner)",Western,4.04 km,22000,4.7,Santai,Tidak,"Fast food, Western, Coffee",Tidak,1,1,Disajikan,Ala Carte,-7.79330862,110.3660663
"Tahu Walik & Soto Warisan, Masjid Umbulharjo",Indonesia,0.53 km,19000,4.6,Santai,Tidak,"Jajanan, Cepat saji, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,-7.8152551,110.3453799
"HokBen Kitchen, Brontokusuman Parangtritis",Japanese,2.29 km,49000,4.8,Formal,Tidak,"Japanese, Fast food",Tidak,4,1,Disajikan,Ala Carte,-7.820335011,110.3680696
"Hakata Ikkousha, Demangan Baru",Japanese,3.92 km,80000,4.7,Formal,Tidak,"Japanese, Noodles",Tidak,2,3,Disajikan,Ala Carte,-7.77794524,110.3928282
"Tanoshii Sushi, Pogung Dalangan",Japanese,6.4 km,58000,4.7,Santai,Ya,"Japanese, Rice, Korean, Snacks, Fast food",Tidak,3,2,Disajikan,Ala Carte,-7.754970186,110.3722934
"Pizza Hut, Sudirman",Western,3.68 km,119000,4.7,Formal,Tidak,"Pizza & pasta, Fast food, Western",Tidak,3,3,Disajikan,Ala Carte,-7.781708597,110.3735957
"Roaster and Bear, P. Mangkubumi",Western,3.87 km,87000,4.7,Santai,Tidak,"Rice, Chicken & duck, Beverages, Snacks, Sweets, Western, Coffee, Pizza & pasta",Tidak,3,1,Disajikan,Ala Carte,-7.784330733,110.3671617
"Essen Choco Pot, Gedong Kuning",Western,1.8 km,35000,4.7,Santai,Tidak,"Rice, Western, Beverages",Tidak,4,2,Disajikan,Ala Carte,-7.816839409,110.4020201
"Zona Seafood, Kotabaru",Chinese,3.24 km,44000,4.8,Santai,Tidak,"Seafood, Chinese",Tidak,3,3,Disajikan,Ala Carte,-7.789238855,110.3701785
Burgerax Demangan 2,Western,3.57 km,38000,4.2,Santai,Tidak,"Snacks, Fast food, Western",Tidak,4,3,Disajikan,Ala Carte,-7.7764299,110.337853
"Makan Burger & Toast, Mantrirejon",Western,3.01 km,21000,4.6,Santai,Tidak,Western,Tidak,1,2,Disajikan,Ala Carte,-7.8210709,110.3051127
"Reisban Coffee Shop, Menukan",Western,2.13 km,25000,4.7,Santai,Tidak,"Western, Coffee, Beverages",Tidak,1,1,Disajikan,Ala Carte,-7.823917668,110.3718586
"Pupa Meatshop, Banguntapan",Western,2.58 km,47000,4.8,Santai,Ya,"Western, Japanese, Korean",Tidak,1,2,Disajikan,Ala Carte,-7.791177173,110.4029387
"Pupa Meatshop, Prawirotaman",Western,2.19 km,47000,4.9,Santai,Ya,"Western, Japanese, Korean",Tidak,3,1,Disajikan,Ala Carte,-7.813286562,110.3672331
"Pepper Lunch, Hartono Mall",Japanese,6.02 km,92000,4.9,Formal,Ya,"Western, Japanese, Rice, Chicken & duck",Tidak,3,1,Disajikan,Ala Carte,-7.76011145,110.3991514
"King Star Kebab, Nogorojo",Western,3.33 km,23000,4.5,Santai,Tidak,"Western, Snacks",Tidak,3,2,Disajikan,Ala Carte,-7.785324103,110.3997932
"Yamie Panda, Kridosono",Chinese,3.04 km,28000,4.7,Santai,Ya,"Bakmie, Chinese",Ya,1,2,Disajikan,Ala Carte,-7.788442114,110.374828
"Warung Makan Bu Sri, Umbulharjo",Indonesia,1.1 km,13000,4.4,Santai,Tidak,"Aneka nasi, Ayam & bebek, Bakso & soto",Tidak,1,3,Disajikan,Ala Carte,-7.814933217,110.3910544
"Rumah Makan Terang Mulyo, Katamso",Chinese,2.07 km,42000,4.8,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,4,3,Disajikan,Ala Carte,-7.812340453,110.3686627
SGPC Sop Penyetan Bu Wiryo Cendana,Indonesia,1.49 km,18000,4.8,Santai,Tidak,"Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte,-7.799554982,110.3845821
"Berkah Abadi, Pasar Kranggan",Chinese,4.13 km,28000,4.2,Santai,Tidak,"Ayam & bebek, Chinese",Tidak,1,2,Disajikan,Ala Carte,-7.7827077,110.3551869
"Mie Ayam Dan Bakso Babaran, Umbulharjo",Indonesia,0.29 km,17000,4.5,Santai,Tidak,"Bakmie, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,-7.811027114,110.3853677
Yamie Singkawang,Chinese,2.08 km,45000,4.7,Santai,Tidak,"Bakmie, Chinese",Tidak,4,3,Disajikan,Ala Carte,-7.813911966,110.3685451
"Easy Peasy Kitchen, Prawirotaman",Western,1.94 km,43000,4.8,Santai,Tidak,"Beverages, Western",Tidak,3,2,Disajikan,Ala Carte,-7.814784071,110.3710779
"Kiwae Ayam Kekinian, Nologaten",Western,4.29 km,30000,4.8,Santai,Ya,"Chicken & duck, Korean, Western",Tidak,2,1,Disajikan,Ala Carte,-7.7536518,110.363314
"Pepper Lunch, Plaza Ambarrukmo",Japanese,3.72 km,92000,4.6,Formal,Ya,"Chicken & duck, Rice, Japanese",Tidak,4,3,Disajikan,Ala Carte,-7.781979362,110.4016822
Makmur Spesial B2 Food,Chinese,4.04 km,31000,4.6,Santai,Ya,"Chinese, Aneka nasi, Bakmie",Tidak,4,1,Disajikan,Ala Carte,-7.784008623,110.3649076
"Rice&Steak, Ngipik, Potorono, Banguntapan, Bantul",Chinese,4.18 km,27000,4.5,Santai,Ya,"Fast food, Chinese, Western",Tidak,4,2,Disajikan,Ala Carte,-7.852588761,110.4058405
"Japanese Town Snack, Matrijeron",Japanese,3.78 km,27000,4.4,Santai,Tidak,"Fast food, Japanese, Snacks",Tidak,2,3,Disajikan,Ala Carte,-7.813398663,110.3538106
"Seblak Asgar, Lowanu",Indonesia,1.42 km,33000,4.5,Santai,Tidak,"Jajanan, Bakso & soto",Tidak,4,2,Disajikan,Ala Carte,-7.818830365,110.3762782
"Tora Tora, Kaliurang",Japanese,5.24 km,28000,4.6,Santai,Ya,"Japanese, Rice",Tidak,3,2,Disajikan,Ala Carte,-7.765669401,110.3795589
"Jajan Fast Food, Sisingamangaraja",Western,1.69 km,18000,4.4,Santai,Tidak,"Rice, Fast food, Western",Tidak,3,3,Disajikan,Ala Carte,-7.816288841,110.3732039
"Sate Taichan Hitz, Gejayan",Japanese,3.63 km,32000,4.6,Santai,Tidak,"Snacks, Japanese, Sate",Tidak,2,3,Disajikan,Ala Carte,-7.780315671,110.3884537
"Kebab Turki Babarafi, Babarsari",Western,4.55 km,23000,4.2,Santai,Tidak,"Snacks, Western",Tidak,4,3,Disajikan,Ala Carte,-7.7670178,110.3952517
"Boom Burger, Seturan",Western,4.56 km,37000,4.7,Santai,Tidak,Western,Tidak,4,3,Disajikan,Ala Carte,-7.777165599,110.4084319
"Dang! Burger, Glagah Sari",Western,0.26 km,29000,4.6,Santai,Tidak,Western,Tidak,2,3,Disajikan,Ala Carte,-7.810459677,110.3872146
"Burger Bangor Express, Taman Siswa",Western,1.4 km,40000,4.7,Santai,Tidak,"Western, Fast food, Chicken & duck",Tidak,2,3,Disajikan,Ala Carte,-7.803980944,110.3783312
"Yamie Panda, Timoho",Chinese,1.91 km,28000,4.7,Santai,Ya,"Bakmie, Bakso & soto, Chinese",Ya,3,3,Disajikan,Ala Carte,-7.796187751,110.3924969
"Cak No Chinese Food, Jogoyudan",Chinese,3.72 km,25000,4.7,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,3,1,Disajikan,Ala Carte,-7.785040453,110.3684495
Warung Sop Iga Dan Soto Betawi Bu Tya,Indonesia,1.08 km,28000,4.5,Santai,Tidak,"Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte,-7.803376767,110.3904823
"Bakso dan Mie Ayam Muncul, Jl. Nyi Wiji Adhisoro",Indonesia,0.86 km,14000,4.5,Santai,Tidak,Bakso & soto,Tidak,1,3,Disajikan,Ala Carte,-7.817523865,110.3967476
"Sop Ayam Pak Min Klaten, Taman Siswa",Indonesia,1.23 km,20000,4.7,Santai,Ya,"Bakso & soto, Ayam & bebek, Aneka nasi",Tidak,2,3,Disajikan,Ala Carte,-7.8085731,110.3668568
"Warung Makan Bu Week, Tegalturi",Indonesia,1.37 km,15000,4.3,Santai,Tidak,"Bakso & soto, Minuman",Tidak,4,3,Disajikan,Ala Carte,-7.8252277,110.3776655
"DF HEALTHY KITCHEN (DF FIT CLUB), Yk",Western,3.64 km,76000,4.9,Santai,Tidak,"Beverages, Rice, Western",Tidak,3,1,Disajikan,Ala Carte,-7.780298451,110.3926283
"Ono Dimsum, Baciro",Japanese,2.35 km,17000,4.6,Santai,Tidak,"Chinese, Jajanan",Tidak,4,2,Disajikan,Ala Carte,-7.793704452,110.3778728
"Sushiruma, Babarsari",Japanese,5.43 km,30000,4.6,Santai,Ya,Japanese,Tidak,4,2,Disajikan,Ala Carte,-7.7746689,110.4079457
"Hokben Kitchen, Seturan Jogja",Japanese,5.5 km,49000,4.8,Formal,Tidak,"Japanese, Fast food",Tidak,1,1,Disajikan,Ala Carte,-7.768363003,110.3996888
"Tom Sushi, Hartono Mall Jogja",Japanese,6.03 km,56000,4.7,Formal,Tidak,"Japanese, Fast food",Tidak,3,1,Disajikan,Ala Carte,-7.759217197,110.3990575
"Banzai, Mergangsan",Japanese,1.2 km,45000,4.8,Formal,Tidak,"Japanese, Fast food, Rice",Tidak,3,1,Disajikan,Ala Carte,-7.777118669,110.4084345
"RamenYa!, Plaza Ambarrukmo",Japanese,3.71 km,73000,4.6,Santai,Tidak,"Japanese, Rice, Noodles",Tidak,2,3,Disajikan,Ala Carte,-7.781508122,110.401481
